minute,half,ht_elo,at_elo,ht_goal,at_goal,pass,short_pass,long_pass,final_3rd_pass,key_pass,cross,corner,big_chance,shot,shot_6_yard_box,shot_penalty_box,shot_open_play,shot_fast_break,dispossessed,turnover,duel,tackle,interception,clearance,offside,yellow,red,result
0,1,1688.32421875,1703.38427734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W
1,1,1688.32421875,1703.38427734,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,W
2,1,1688.32421875,1703.38427734,0,0,-4,-4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,W
3,1,1688.32421875,1703.38427734,0,0,-7,-7,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,W
4,1,1688.32421875,1703.38427734,0,0,-7,-7,2,-4,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,1,0,0,W
5,1,1688.32421875,1703.38427734,0,0,-9,-8,2,-4,0,0,0,0,0,0,0,0,0,0,0,-3,0,2,-1,1,0,0,W
6,1,1688.32421875,1703.38427734,0,0,-11,-10,2,-5,0,0,0,0,0,0,0,0,0,0,0,-3,0,2,-1,1,0,0,W
7,1,1688.32421875,1703.38427734,0,0,-7,-6,2,-1,0,2,1,0,0,0,0,0,0,0,0,-4,0,2,-2,1,0,0,W
8,1,1688.32421875,1703.38427734,0,0,1,1,2,6,0,3,1,0,0,0,0,0,0,-1,1,-3,1,2,-2,1,0,0,W
9,1,1688.32421875,1703.38427734,0,0,-5,-4,1,11,0,5,1,0,0,0,0,0,0,-1,1,-4,1,2,-3,1,0,0,W
10,1,1688.32421875,1703.38427734,0,0,-1,0,2,12,0,5,1,0,0,0,0,0,0,-1,1,-4,1,3,-3,1,0,0,W
11,1,1688.32421875,1703.38427734,0,0,1,1,3,15,1,7,2,1,1,1,0,0,0,-1,1,-3,1,3,-3,1,0,0,W
